focalLoss + Êý¾Ý¾ùºâ
modelName=Mynet, batch_size=128, learn_rate =0.000100, epochs=200, steps_per_epoch=500, validation_steps=100, isprep = 1

t_loss    t_acc     c_loss    c_acc     nc_loss   nc_acc    
0.101577  0.921719  2.151198  0.117188  0.014442  0.998594
0.098534  0.930000  0.139608  0.948906  0.207840  0.921641
0.091212  0.935937  0.226146  0.912656  0.118813  0.953203
0.091319  0.934375  0.145302  0.954766  0.142383  0.941953
0.078138  0.943984  0.137674  0.955625  0.122191  0.948516
0.072877  0.948750  0.158046  0.942187  0.097840  0.959766
0.066711  0.954609  0.028633  0.994609  0.270331  0.890469
0.066165  0.952500  0.048193  0.988203  0.193599  0.917344
0.064230  0.956328  0.249022  0.902578  0.035906  0.986484
0.050647  0.965156  0.065861  0.981094  0.106050  0.954141
0.049318  0.963125  0.062340  0.980625  0.112571  0.953203
0.049704  0.965234  0.103191  0.963750  0.068082  0.971094
0.044701  0.969531  0.048331  0.982109  0.105568  0.955391
0.037539  0.973281  0.081680  0.969688  0.056775  0.976094
0.037617  0.973906  0.044153  0.984766  0.075702  0.970625
0.036202  0.975547  0.075600  0.972656  0.071930  0.971875
0.041015  0.971094  0.039127  0.988047  0.103023  0.958594
0.033922  0.977891  0.030174  0.989844  0.115397  0.955234
0.033986  0.976328  0.071143  0.972812  0.037582  0.985078
0.030489  0.979531  0.035118  0.988125  0.072348  0.971797
0.029161  0.979922  0.036511  0.986563  0.069348  0.973359
0.037693  0.974375  0.066938  0.975625  0.045201  0.983516
0.031811  0.979141  0.186062  0.927656  0.033765  0.986328
0.026009  0.982344  0.018043  0.994141  0.079699  0.968437
0.025299  0.981406  0.046118  0.984453  0.046294  0.983203
0.028397  0.981328  0.046793  0.982578  0.053927  0.979922
0.025732  0.980781  0.039357  0.986406  0.044122  0.982578
0.026885  0.982734  0.055062  0.980469  0.033322  0.986953
0.024340  0.983203  0.021396  0.992656  0.087674  0.967187
0.024123  0.983906  0.019118  0.995078  0.062338  0.977031
0.024932  0.983750  0.037915  0.986250  0.039854  0.985469
0.024440  0.983594  0.064658  0.976719  0.026593  0.988984
0.022525  0.983750  0.025762  0.993125  0.066812  0.975313
0.023998  0.983437  0.046435  0.984766  0.031916  0.988359
0.024129  0.982969  0.020500  0.993984  0.068119  0.972891
0.021038  0.985547  0.028336  0.990313  0.040148  0.985313
0.023385  0.985547  0.058123  0.978750  0.024156  0.990859
0.020007  0.986172  0.023060  0.991953  0.051054  0.980000
0.020869  0.985547  0.037333  0.986641  0.034385  0.986797
0.021996  0.984375  0.045407  0.984844  0.039420  0.985469
0.019396  0.987187  0.047930  0.981797  0.028796  0.989688
0.017746  0.987578  0.029852  0.990156  0.034250  0.987031
0.020586  0.986406  0.012111  0.996016  0.097496  0.964063
0.018461  0.987734  0.025624  0.991172  0.039769  0.985313
0.018098  0.988047  0.022316  0.992891  0.044253  0.983359
0.018662  0.988125  0.018441  0.993516  0.072723  0.972266
0.021642  0.985078  0.072153  0.973359  0.024747  0.990703
0.016735  0.989062  0.021710  0.991719  0.047385  0.982109
0.016636  0.988203  0.013789  0.995313  0.063183  0.975625
0.017737  0.988281  0.020435  0.993750  0.042364  0.984141
0.019284  0.987187  0.036536  0.988203  0.041849  0.984922
0.018037  0.987578  0.008600  0.997188  0.083749  0.968906
0.015593  0.989141  0.058515  0.980078  0.019695  0.992031
0.019096  0.987344  0.019439  0.994297  0.051680  0.980469
0.017555  0.988125  0.031158  0.988516  0.034031  0.987422
0.015607  0.989531  0.031711  0.988906  0.037166  0.986172
0.017711  0.988984  0.017437  0.993672  0.036229  0.986172
0.019657  0.987578  0.028471  0.990547  0.030685  0.987266
0.017892  0.988359  0.020834  0.993516  0.034325  0.987344
0.018418  0.988281  0.031377  0.989453  0.027283  0.989922
0.017108  0.988359  0.026079  0.991484  0.035070  0.987266
0.017152  0.988750  0.019003  0.993516  0.042295  0.983828
0.017706  0.989766  0.014641  0.995313  0.050915  0.979688
0.014050  0.990625  0.024636  0.991328  0.033617  0.987969
0.015655  0.988984  0.014675  0.995156  0.047175  0.982656
0.015128  0.989766  0.013418  0.995469  0.061214  0.977187
0.015641  0.990781  0.018658  0.993672  0.044182  0.983359
0.015229  0.990391  0.024962  0.991328  0.046416  0.982031
0.014049  0.990469  0.023154  0.991484  0.033527  0.987109
0.017970  0.987891  0.028351  0.991328  0.030487  0.989219
0.015069  0.989375  0.012679  0.995703  0.044612  0.983203
0.015065  0.990156  0.031722  0.988203  0.026429  0.990313
0.016249  0.989062  0.012112  0.996172  0.057049  0.978984
0.012776  0.991016  0.012231  0.995859  0.047092  0.982187
0.015809  0.989922  0.025564  0.991406  0.026723  0.989297
0.018962  0.987031  0.096988  0.965078  0.017245  0.993359
0.014074  0.989688  0.035219  0.986953  0.020407  0.992578
0.014098  0.990859  0.031741  0.988750  0.023985  0.990313
0.015897  0.990156  0.030998  0.989141  0.021974  0.991563
0.018785  0.987734  0.013218  0.995938  0.064881  0.976016
0.013846  0.990234  0.037027  0.986016  0.021585  0.991328
0.014285  0.989844  0.013159  0.995000  0.052299  0.980234
0.016331  0.989297  0.028950  0.990078  0.028735  0.989375
0.014572  0.990781  0.022147  0.991406  0.029928  0.988750
0.017311  0.989062  0.024765  0.992266  0.036504  0.985938
0.017758  0.988437  0.014303  0.995234  0.045001  0.982891
0.011996  0.991875  0.024712  0.991016  0.021455  0.992031
0.015562  0.989609  0.014482  0.995000  0.043648  0.984609
0.013446  0.990938  0.046170  0.983594  0.019363  0.993359
0.013394  0.991172  0.018082  0.993984  0.037873  0.986563
0.014569  0.990078  0.022332  0.993125  0.042261  0.984688
0.013740  0.989453  0.014113  0.994844  0.042749  0.984141
0.016119  0.989766  0.021503  0.991875  0.034703  0.986563
0.013106  0.991563  0.017237  0.993750  0.036230  0.985625
0.014443  0.990391  0.013574  0.995156  0.051334  0.981563
0.014439  0.990859  0.026194  0.990313  0.028719  0.989062
0.012552  0.991563  0.024774  0.991328  0.036374  0.986875
0.010643  0.992578  0.009072  0.997109  0.053231  0.980781
0.013027  0.992344  0.017507  0.994375  0.037060  0.984922
0.014831  0.990547  0.018042  0.993125  0.039921  0.985078
0.012308  0.992344  0.013942  0.994844  0.042892  0.983906
0.013076  0.990234  0.011175  0.996328  0.043238  0.983828
0.015524  0.989688  0.018887  0.993281  0.041719  0.983672
0.011766  0.991484  0.010543  0.996563  0.048575  0.981016
0.013568  0.990469  0.007204  0.997500  0.072643  0.972500
0.011377  0.991641  0.010176  0.995781  0.062199  0.978359
0.013499  0.991641  0.017656  0.993906  0.032981  0.988203
0.011461  0.992578  0.012360  0.996016  0.046350  0.982422
0.013099  0.991484  0.015232  0.994609  0.036270  0.986250
0.012682  0.992500  0.024284  0.991172  0.023538  0.991328
0.014320  0.990391  0.006943  0.997969  0.070991  0.971562
0.013105  0.991797  0.012893  0.995234  0.036522  0.985859
0.014232  0.990547  0.015095  0.995234  0.032727  0.987187
0.012723  0.992109  0.032189  0.989375  0.029394  0.988828
0.012088  0.991875  0.018573  0.993516  0.027585  0.990156
0.011915  0.991875  0.012857  0.995391  0.042260  0.984453
0.011741  0.992500  0.016017  0.993672  0.033975  0.987422
0.012999  0.991719  0.009651  0.996484  0.053740  0.978984
0.013946  0.992031  0.012603  0.995781  0.056690  0.978203
0.011903  0.992031  0.019185  0.992266  0.024528  0.990547
0.010817  0.991953  0.010458  0.996172  0.045361  0.982500
0.009855  0.993750  0.016148  0.994219  0.032031  0.987656
0.011422  0.992578  0.023771  0.992031  0.030861  0.989062
0.009819  0.994687  0.013863  0.995391  0.034992  0.987187
0.011425  0.991797  0.019496  0.994297  0.026555  0.990547
0.013134  0.990547  0.028550  0.990391  0.019503  0.992812
0.011724  0.992344  0.045992  0.983203  0.009558  0.996719
0.010969  0.992422  0.028508  0.990078  0.027626  0.990000
0.010305  0.993672  0.016769  0.995000  0.028710  0.988750
0.008889  0.994375  0.019777  0.993125  0.033600  0.987266
0.011092  0.993125  0.011621  0.995469  0.034979  0.986641
0.010173  0.993516  0.014916  0.995000  0.038966  0.986719
0.010125  0.993281  0.020743  0.992266  0.028276  0.989219
