focalLoss + Êý¾Ý¾ùºâ
modelName=Mynet, batch_size=128, learn_rate =0.000100, epochs=200, steps_per_epoch=500, validation_steps=100, isprep = 1

iter      loss      acc       
000050  0.223950  0.820312
000100  0.137511  0.875000
000150  0.087858  0.945312
000200  0.165603  0.875000
000250  0.108035  0.898438
000300  0.133690  0.859375
000350  0.099191  0.929688
000400  0.076965  0.945312
000450  0.083205  0.929688
000500  0.100952  0.945312
000550  0.094957  0.914062
000600  0.126467  0.921875
000650  0.115321  0.921875
000700  0.060490  0.953125
000750  0.061232  0.960938
000800  0.117293  0.890625
000850  0.062040  0.929688
000900  0.051304  0.968750
000950  0.072340  0.929688
001000  0.074922  0.929688
001050  0.060507  0.968750
001100  0.068654  0.945312
001150  0.071267  0.937500
001200  0.148646  0.945312
001250  0.100232  0.929688
001300  0.066145  0.937500
001350  0.061068  0.929688
001400  0.115190  0.914062
001450  0.135693  0.914062
001500  0.089811  0.929688
001550  0.182438  0.953125
001600  0.139728  0.929688
001650  0.051803  0.960938
001700  0.114792  0.898438
001750  0.065904  0.960938
001800  0.050774  0.960938
001850  0.103519  0.914062
001900  0.099631  0.898438
001950  0.106020  0.914062
002000  0.049643  0.960938
002050  0.084970  0.921875
002100  0.087861  0.937500
002150  0.093563  0.914062
002200  0.082722  0.945312
002250  0.070668  0.929688
002300  0.105631  0.914062
002350  0.076556  0.953125
002400  0.052148  0.945312
002450  0.049535  0.960938
002500  0.090013  0.898438
002550  0.052892  0.960938
002600  0.083522  0.914062
002650  0.066184  0.945312
002700  0.098549  0.929688
002750  0.092727  0.921875
002800  0.039689  0.992188
002850  0.096573  0.906250
002900  0.043973  0.937500
002950  0.084741  0.937500
003000  0.086604  0.921875
003050  0.121783  0.898438
003100  0.088706  0.945312
003150  0.106767  0.929688
003200  0.050827  0.968750
003250  0.103286  0.937500
003300  0.040852  0.976562
003350  0.083421  0.921875
003400  0.073195  0.953125
003450  0.094422  0.929688
003500  0.090925  0.960938
003550  0.061654  0.953125
003600  0.061970  0.960938
003650  0.056753  0.960938
003700  0.053928  0.968750
003750  0.116015  0.929688
003800  0.055145  0.968750
003850  0.065762  0.945312
003900  0.055025  0.953125
003950  0.027065  0.992188
004000  0.061990  0.945312
004050  0.035111  0.984375
004100  0.079047  0.945312
004150  0.022664  0.992188
004200  0.049710  0.945312
004250  0.059161  0.960938
004300  0.053620  0.960938
004350  0.032196  0.976562
004400  0.068751  0.945312
004450  0.087891  0.937500
004500  0.056102  0.953125
004550  0.074174  0.937500
004600  0.055556  0.953125
004650  0.037214  0.976562
004700  0.024229  0.976562
004750  0.060285  0.953125
004800  0.035216  0.976562
004850  0.045106  0.960938
004900  0.090814  0.937500
004950  0.027471  0.976562
005000  0.084839  0.945312
005050  0.049003  0.960938
005100  0.046577  0.968750
005150  0.101860  0.929688
005200  0.046312  0.976562
005250  0.058734  0.937500
005300  0.028822  0.992188
005350  0.074931  0.921875
005400  0.060407  0.945312
005450  0.024211  0.984375
005500  0.029424  0.968750
005550  0.060854  0.976562
005600  0.079862  0.945312
005650  0.048699  0.953125
005700  0.099197  0.953125
005750  0.022766  0.992188
005800  0.027687  0.984375
005850  0.058814  0.953125
005900  0.048719  0.945312
005950  0.046975  0.945312
006000  0.058554  0.976562
006050  0.017878  1.000000
006100  0.021528  0.976562
006150  0.044260  0.968750
006200  0.042730  0.968750
006250  0.011375  0.992188
